8.00
10/Sep/2025	14:53:39	8000
2.00	8.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20
34377.6015625	-20307.736328125	452.020202636719	52.5614585876465	-578.064086914062	-337.779846191406	177.941802978516	-21.0755615234375	-21.1703357696533	-103.370056152344	-165.211151123047	434.203765869141	-177.970321655273	591.095336914062	323.435119628906	13.7567415237427	48.45703125	-18.324836730957	37.1977462768555	-70.5460968017578
50208.28515625	-34946.37890625	566.396484375	70.4313659667969	-534.528869628906	-361.287078857422	144.806747436523	7.67704916000366	34.0734977722168	-96.3233642578125	-172.598449707031	409.009857177734	-156.922164916992	600.829833984375	307.073974609375	55.6861763000488	44.7946128845215	-21.5937347412109	15.0392255783081	-21.7628955841064
63400.40234375	-43694.328125	590.931518554688	95.3996353149414	-509.135772705078	-371.061889648438	58.0871315002441	-24.8483924865723	26.7900524139404	-76.429328918457	-190.825729370117	406.651397705078	-175.157272338867	582.106689453125	244.006439208984	44.0496025085449	66.5808410644531	14.077784538269	34.3087272644043	-2.75169682502747
76135.796875	-38637.25390625	600.853332519531	90.2724227905273	-446.014495849609	-412.528442382812	29.0854015350342	-16.3731307983398	30.5246276855469	-91.8697662353516	-195.524673461914	383.205322265625	-192.892608642578	590.900451660156	267.553649902344	38.0953636169434	41.498046875	49.1952590942383	52.7945442199707	8.38898086547852
85959.640625	-21446.857421875	571.0009765625	107.409927368164	-394.320922851562	-411.117004394531	25.6982536315918	-19.702600479126	53.6793594360352	-101.616905212402	-218.092803955078	362.034362792969	-187.548828125	580.290466308594	273.809692382812	51.9885368347168	21.9392032623291	72.6086044311523	86.8035736083984	50.7932243347168
90936.3203125	3699.17041015625	482.573883056641	86.6388168334961	-336.221984863281	-439.234313964844	77.9200973510742	-40.4547080993652	66.8200073242188	-96.8850784301758	-217.814178466797	374.399322509766	-180.723999023438	556.55810546875	239.897186279297	50.2659301757812	44.4343414306641	96.5071258544922	79.3800735473633	55.3270645141602
94512.4609375	28489.5703125	343.464477539062	99.182243347168	-261.79248046875	-483.6611328125	127.548919677734	-49.5248222351074	91.6009216308594	-77.335563659668	-177.684341430664	384.62109375	-157.023284912109	542.296447753906	284.562103271484	66.7530059814453	63.5932197570801	94.3849487304688	49.7187347412109	72.2938995361328
97281.90625	45116.69140625	171.872283935547	164.429580688477	-188.246307373047	-506.425598144531	158.624664306641	-47.4976692199707	115.392196655273	-82.4119338989258	-188.411880493164	377.300231933594	-175.619979858398	526.181030273438	299.811462402344	61.6842460632324	77.2244873046875	117.200241088867	61.039192199707	67.5162582397461
101810.4765625	52182.79296875	27.8181953430176	179.533966064453	-62.3559417724609	-517.709228515625	233.474517822266	-91.9340591430664	129.81298828125	-36.3616218566895	-195.036972045898	375.876831054688	-202.207336425781	538.033813476562	297.513793945312	50.8895416259766	76.3602066040039	124.703033447266	23.5623741149902	35.5645370483398
112620.734375	57541.390625	-128.371856689453	191.424041748047	36.9278678894043	-503.019348144531	304.730804443359	-109.093872070312	146.269790649414	-34.1439247131348	-152.488021850586	372.74853515625	-194.422393798828	557.393859863281	330.342681884766	44.1030082702637	87.5033187866211	108.948585510254	8.570237159729	42.6638603210449
135060.015625	67034.5	-286.331481933594	157.767593383789	71.2288284301758	-494.457153320312	301.155548095703	-110.69751739502	203.76579284668	-86.4345474243164	-129.96598815918	369.360473632812	-207.473342895508	568.071166992188	337.075866699219	24.1505260467529	71.2734603881836	93.1256484985352	-6.18712186813354	12.5406656265259
