44.00
10/Sep/2025	14:53:39	8000
2.00	44.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
-517251.59375	-518329.34375	-171158.921875	178677.6875	-1050.38037109375	-309.683807373047
-517251.59375	-514740.9375	-179803.359375	236820.71875	-658.033752441406	-330.946075439453
-517251.59375	-520330.40625	-188000.046875	292763.5625	528.693725585938	-375.517303466797
-517251.59375	-512046.625	-193955.4375	348489.5	-253.276763916016	-349.843811035156
-517251.59375	-525818.5	-194943.703125	403810.5625	-1746.40710449219	-381.144195556641
-517251.59375	-471670	-188027.890625	472372.0625	-1258.29895019531	-424.284271240234
-517251.59375	-82503.515625	-171936.859375	516880.28125	-1627.24487304688	-413.720245361328
-517251.59375	385325.3125	-143470.671875	516823.90625	-1021.83843994141	-440.621978759766
-517251.59375	528091.3125	-101200.2578125	516365.375	317.052673339844	-456.651153564453
-517251.59375	512705.9375	-46468.19140625	517339.625	-1007.00360107422	-449.733520507812
-517251.59375	518911.03125	22078.732421875	516201.03125	-2450.74194335938	-457.599243164062
-517251.59375	516271.375	99687.9140625	517315.09375	-3044.59204101562	-432.264251708984
-517251.59375	517027.71875	190096.515625	516518.53125	-3327.28564453125	-410.580993652344
-517251.59375	517376.40625	283077.65625	517075.9375	-2286.04541015625	-407.978454589844
-517247.1875	516433.34375	384188.78125	516924.34375	-1376.56091308594	-396.017700195312
-517448.875	517582.65625	486897.34375	516834.6875	-1733.05236816406	-378.99169921875
-517962.4375	516521.15625	522019.875	517248.78125	-2288.79858398438	-375.013671875
-517849.53125	517312.53125	515656.21875	516721.09375	-2692.61328125	-361.645751953125
-518098.6875	516862.21875	518803.96875	517368.75	-2670.7265625	-336.926849365234
-518014.1875	516997.59375	517359.96875	516889.46875	-1930.94775390625	-351.105041503906
-517759.1875	517084.15625	517732.21875	517081.3125	-942.302062988281	-341.173431396484
-518489.21875	516881.84375	518019.84375	517369.25	272.996765136719	-347.182739257812
-517263.21875	516908.78125	517399.71875	516204.3125	1068.88513183594	-350.555908203125
-518828.25	516432.96875	518054.84375	518375.5625	563.583374023438	-319.268218994141
-517280.5	516252.5	517465.84375	514763.3125	-797.730773925781	-332.536437988281
-518272.21875	516253.4375	517802.21875	520866.125	-2936.92822265625	-314.530792236328
-518494.875	516253.4375	517576.03125	498920.8125	-6130.07470703125	-255.447418212891
