0.00
10/Sep/2025	14:53:39	8000
2.00	0.00

Channel 1	Channel 2	Channel 3	Channel 4
520004.71875	520424.625	-520515.59375	260807.234375
520099.25	520424.625	-520391.1875	281872.375
520122.65625	520423.1875	-520343.125	302415.3125
520141.5625	520496.25	-520639.125	321410.96875
520234.03125	520826.8125	-520117.90625	337862.03125
520055.8125	520878.5625	-520877.8125	351463.4375
520323.6875	521187.8125	-519969.65625	362416.8125
519994.53125	521266.09375	-521069.15625	370985.71875
520241.96875	520853.375	-518267.71875	376653.625
520168.09375	521786.71875	-488333.09375	378265.3125
519813.625	520329.1875	-445022.34375	374814.5
520663.34375	522076.4375	-404278.875	366021.40625
519116.03125	520564.9375	-363192.59375	352255.5625
521289.5	521045.375	-325688.28125	333947.625
518452.4375	522550.46875	-290270.71875	311095.03125
522025.71875	518103.34375	-256084.90625	283262.15625
512602.53125	526308.4375	-221584.671875	250250.21875
433764.3125	513530.15625	-184419.625	212366
347218	533334.1875	-144404.3125	170481.46875
301189.5	466078.625	-101056.671875	125636.0078125
274912.40625	183485.953125	-55614.296875	78495.3828125
270279.09375	-119036.90625	-9203.1669921875	29655.1953125
276213.9375	-394453.5625	37524.609375	-20139.740234375
287374.28125	-531906.625	84220.4375	-69944.2890625
305647.4375	-516331.21875	131100.3125	-118845.625
331287.46875	-522669.53125	177941.109375	-166105.1875
363719.78125	-521645.96875	223989.28125	-211118.125
398596.53125	-519648.1875	268467.78125	-253421.40625
433237.375	-522979.4375	310051.6875	-292455.125
461649.5625	-519556.5625	348881.875	-327615.8125
489995.46875	-522299.90625	383965.34375	-358293.75
515125	-520562.5625	416996.3125	-383949.375
521372.34375	-521330.15625	447949.46875	-404369.96875
519615.5	-521275.71875	477229.1875	-419848.75
520825.21875	-520949.40625	507278.90625	-431045.03125
520355.375	-521356.03125	521521.125	-438754.75
520290.25	-520890.09375	520212.34375	-443612.71875
521195.5625	-520838.59375	520740.40625	-445765.5625
519375.5625	-520576.4375	520653.34375	-445019.34375
522853.0625	-520424.875	520484.3125	-441103.71875
507001.8125	-520425.625	520871.78125	-434180.21875
450087.78125	-520425.6875	520338.9375	-424932.8125
385654.53125	-520425.6875	521029.5625	-414039.40625
328222.65625	-520425.6875	520258.59375	-401668.09375
280254.15625	-520425.6875	521086.25	-387375.71875
245659.984375	-520425.34375	520357.03125	-370474.1875
218361.8125	-520444.8125	520882.28125	-350690.71875
194584.9375	-520535.5	520161.25	-328645.46875
167071.28125	-520565.34375	488551.375	-305319.53125
134851.015625	-520666	436369.0625	-281382.46875
100223.921875	-520753.40625	385005.46875	-256978.390625
65253.8046875	-520737.96875	329613.375	-231829.359375
32433.556640625	-521006.78125	273778.5625	-205652.84375
2796.71948242188	-520781.3125	217171.75	-178505.75
-25594.4765625	-521198.4375	159851.1875	-150918.34375
-55528.91015625	-520950.6875	102639.609375	-123520.6796875
-87980.8515625	-521115.625	44275.921875	-96647.3046875
-125469.6328125	-521421.03125	-14584.115234375	-70478.53125
-169604.203125	-520598.21875	-74516.0859375	-45114.8359375
-218583.984375	-522174.84375	-134357.921875	-20576.5703125
-268001.46875	-519614.5	-192956.921875	2870.44213867188
-310643.53125	-523897	-248774.078125	24731.638671875
-337751.90625	-506894.84375	-299743.53125	44472.5078125
-343704.03125	-429490.53125	-344363.40625	61585.8671875
-331252.15625	-334684.28125	-381398.875	75969.875
-308798.40625	-238869.21875	-409993.375	87732.0078125
-283875.625	-134819.703125	-429973.125	96971.34375
-261912.953125	-32043.82421875	-441659.84375	103958.6484375
-242275.390625	72895.5	-445621.40625	109061.59375
-217747.390625	172274.1875	-442828.4375	112809.9609375
-182081.78125	266546.78125	-434403.78125	115749.484375
-134333.1875	352387.4375	-421582.46875	118215.859375
-79161.2890625	427306.75	-405545.6875	120328.296875
-22130.439453125	494342.53125	-387154.625	121948.140625
32943.6640625	523211.125	-367031.21875	123027.6171875
84386.015625	520962.09375	-345501.15625	123748.828125
135894.046875	521585.09375	-322716.5	124177.078125
190417.78125	521987.4375	-298789.8125	124322.3359375
244942.671875	521065	-273901.125	124312.453125
296109.3125	522228.3125	-248260.546875	124485.7890625
340995.1875	521045.5625	-222164.109375	125364.5078125
375399.46875	521711.0625	-196141.09375	127314.4609375
397504.625	521109.78125	-170824.65625	130474.3984375
408645.25	490381.96875	-147123.84375	134716.3125
409097.65625	435969.8125	-126018.703125	139692.140625
399182.96875	379833.1875	-108177.1796875	145238.703125
