4.00
10/Sep/2025	14:53:39	8000
2.00	4.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12
529316.5	521905.625	-3553.23583984375	-7440.3955078125	-270.731506347656	230.455642700195	-238.316925048828	100.873222351074	-150.105514526367	-190.308090209961	-248.05419921875	-350.139770507812
498762.46875	524928.625	-5680.52294921875	-11438.392578125	-277.632446289062	233.554870605469	-208.242309570312	68.072395324707	-160.459976196289	-170.808532714844	-235.689956665039	-353.270141601562
537587	520330.03125	-8038.6767578125	-15226.0400390625	-266.705780029297	187.916900634766	-165.463424682617	62.1241111755371	-153.470092773438	-214.594970703125	-204.480056762695	-348.578704833984
496144.5625	527987.25	-10794.6044921875	-18910.83203125	-265.822662353516	170.824859619141	-105.678039550781	22.277437210083	-138.768997192383	-258.806396484375	-198.897994995117	-375.372894287109
530452.625	469472.625	-13076.7548828125	-22929.03515625	-306.267456054688	104.885353088379	-74.834602355957	-10.3125782012939	-154.637084960938	-292.659454345703	-182.243927001953	-340.317779541016
512201.4375	273952.5625	-14654.705078125	-24768.794921875	-303.283721923828	30.4954414367676	-68.8506088256836	-10.5142250061035	-190.390029907227	-336.593841552734	-131.915222167969	-314.914459228516
-209176.078125	43482.4609375	-15816.1884765625	-20623.3984375	-275.188079833984	-75.5421447753906	-47.3572769165039	-37.2819938659668	-178.568084716797	-378.311462402344	-151.117065429688	-328.105346679688
-594163.3125	-256682.53125	-16223.0634765625	-11669.8037109375	-279.881378173828	-172.202224731445	-2.4912588596344	-90.5566329956055	-150.909149169922	-425.125854492188	-158.356597900391	-297.852569580078
-476507.53125	-502647.6875	-17049.705078125	-4981.35693359375	-296.224456787109	-250.986694335938	2.52735829353333	-128.541091918945	-166.560501098633	-493.758361816406	-124.801910400391	-278.190338134766
-536670.4375	-528207.6875	-18213.83984375	-3483.46118164062	-297.345825195312	-365.010406494141	-0.323841959238052	-193.082321166992	-190.602249145508	-514.022094726562	-74.8585510253906	-274.656066894531
-509640.75	-518967.125	-17210.328125	-3363.36962890625	-271.550476074219	-455.889465332031	44.4168090820312	-231.890533447266	-196.135833740234	-529.644592285156	-56.7609519958496	-260.934356689453
-515084.59375	-526596.25	-14153.2978515625	-1385.05065917969	-263.078521728516	-563.295471191406	43.2714042663574	-237.616806030273	-206.756164550781	-581.380249023438	-95.7252426147461	-242.355773925781
-522548.46875	-520298	-10966.5595703125	682.084106445312	-262.727386474609	-669.965881347656	59.1994819641113	-271.483825683594	-199.214767456055	-571.187866210938	-92.7082977294922	-215.785675048828
-509255.875	-524953.1875	-8379.4375	-933.874389648438	-255.781616210938	-713.096313476562	102.340698242188	-288.523651123047	-199.496627807617	-582.049560546875	-64.5622863769531	-208.314224243164
-523085.34375	-522065.59375	-6533.17578125	-4264.97607421875	-256.331817626953	-782.289794921875	77.9541931152344	-284.688507080078	-219.316497802734	-601.773559570312	-30.0668449401855	-199.023406982422
-511997.28125	-523355.40625	-3623.21899414062	-2042.81262207031	-238.885269165039	-879.962585449219	75.0286254882812	-287.843414306641	-185.50617980957	-605.9150390625	-21.9929237365723	-173.707336425781
-519002.4375	-523275.625	3467.720703125	11145.0400390625	-243.270538330078	-908.790405273438	94.5024719238281	-291.657562255859	-164.276641845703	-619.809753417969	-62.6825141906738	-169.732650756836
-515908.46875	-522633.90625	15146.51171875	33224.0078125	-262.616821289062	-939.37255859375	121.968444824219	-268.656280517578	-144.488494873047	-591.923034667969	-45.9864540100098	-163.221084594727
